DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,RIS,1,11213300,5976328,853244932,5509729.0,875944289.0,1706489864,7981801336
AMM,S_Tree,RIS,2,12028792,5976328,427879208,5509729.0,451394057.0,1281124140,3915314004
AMM,S_Tree,RIS,4,13635656,5976328,213939604,5509729.0,239061317.0,1067184536,1878117160
AMM,S_Tree,RIS,8,20890048,5976328,108681264,5509729.0,141057369.0,961926196,1294198988
AMM,S_Tree,RIS,16,35574976,5976328,56037992,5509729.0,103099025.0,909282924,1011765780
AMM,S_Tree,RIS,32,73848704,5976328,29076220,5509729.0,114410981.0,882321152,1111593856
AMM,S_Tree,RWS,1,11213300,853244932,6481309,5509729.0,876449270.0,1706489864,7981801336
AMM,S_Tree,RWS,2,12025320,427288312,6481309,5509729.0,451304670.0,1280533244,3914404996
AMM,S_Tree,RWS,4,13630808,213644668,6481309,5509729.0,239266514.0,1066889600,1877364928
AMM,S_Tree,RWS,8,20807760,108027572,6481309,5509729.0,140826370.0,961272504,1285965576
AMM,S_Tree,RWS,16,35610752,56052416,6481309,5509729.0,103654206.0,909297348,1013683260
AMM,S_Tree,RWS,32,73924864,29083944,6481309,5509729.0,114999846.0,882328876,1113642452
AMM,S_Tree,ROS,1,11213300,853244932,13117095,5509729.0,883085056.0,1706489864,7981801336
AMM,S_Tree,ROS,2,12025320,427288312,13117095,5509729.0,457940456.0,1706489864,3488448376
AMM,S_Tree,ROS,4,13630808,213644668,13117095,5509729.0,245902300.0,1706489864,1237764664
AMM,S_Tree,ROS,8,20807760,108027572,13117095,5509729.0,147462156.0,1706489864,540748216
AMM,S_Tree,ROS,16,35610752,56052416,13117095,5509729.0,110289992.0,1706489864,216490744
AMM,S_Tree,ROS,32,73924864,29083944,13117095,5509729.0,121635632.0,1706489864,289481464
AMM,ST_Tree_Ac,RIS,1,0,5976328,853244932,5509729.0,864730989.0,1706489864,7981801336
AMM,ST_Tree_Ac,RIS,2,12028792,5976328,427879208,5509729.0,451394057.0,1281124140,3915314004
AMM,ST_Tree_Ac,RIS,4,13635656,5976328,213939604,5509729.0,239061317.0,1067184536,1878117160
AMM,ST_Tree_Ac,RIS,8,20890048,5976328,108681264,5509729.0,141057369.0,961926196,1294198988
AMM,ST_Tree_Ac,RIS,16,35574976,5976328,56037992,5509729.0,103099025.0,909282924,1011765780
AMM,ST_Tree_Ac,RIS,32,73848704,5976328,29076220,5509729.0,114410981.0,882321152,1111593856
AMM,ST_Tree_Ac,RWS,1,0,853244932,6481309,5509729.0,865235970.0,1706489864,7981801336
AMM,ST_Tree_Ac,RWS,2,12025320,427288312,6481309,5509729.0,451304670.0,1280533244,3914404996
AMM,ST_Tree_Ac,RWS,4,13630808,213644668,6481309,5509729.0,239266514.0,1066889600,1877364928
AMM,ST_Tree_Ac,RWS,8,20807760,108027572,6481309,5509729.0,140826370.0,961272504,1285965576
AMM,ST_Tree_Ac,RWS,16,35610752,56052416,6481309,5509729.0,103654206.0,909297348,1013683260
AMM,ST_Tree_Ac,RWS,32,73924864,29083944,6481309,5509729.0,114999846.0,882328876,1113642452
